ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_RNA_Red
1,1,1219.1818181818182,470.1454545454545,0,1,314
1,2,1300.2424242424242,479.24242424242425,0,2,425
1,3,1419.362745098039,736.4901960784314,0,3,2049
1,4,1477.6,747.8666666666667,0,4,2116
1,5,1552.2686567164178,747.2537313432836,0,5,2126
1,6,788.0,764.5,0,6,2207
1,7,795.8148148148148,783.0185185185185,0,7,2273
1,8,793.078947368421,788.6578947368421,0,8,2305
1,9,796.8571428571429,791.3571428571429,0,9,2313
1,10,1507.8130081300812,805.4715447154472,0,10,2364
1,11,737.8518518518518,880.8888888888889,0,11,2619
1,12,733.5,882.0,0,12,2636
1,13,1149.0,959.5,0,13,3195
1,14,1052.0,964.1176470588235,0,14,3208
1,15,1298.2307692307693,979.6923076923077,0,15,3283
1,16,1295.9545454545455,990.4545454545455,0,16,3344
1,17,1128.6363636363637,1002.5681818181819,0,17,3400
1,18,1322.375,1002.8125,0,18,3406
1,19,1243.2,1011.5,0,19,3446
1,20,521.8235294117648,1022.2941176470588,0,20,3497
1,21,516.2333333333333,1023.8666666666667,0,21,3511
1,22,1262.5652173913043,1027.7391304347825,0,22,3526
1,23,1242.3,1037.8,0,23,3566
1,24,1270.875,1042.125,0,24,3587
1,25,1231.6875,1050.4375,0,25,3633
1,26,434.7922077922078,1092.4025974025974,0,26,3812
1,27,1201.3131313131314,1140.7272727272727,0,27,3966
1,28,1110.5,1140.6666666666667,0,28,3977
1,29,1108.15,1146.7,0,29,4002
1,30,1298.1190476190477,1146.8095238095239,0,30,4008
1,31,1126.6078431372548,1145.764705882353,0,31,4014
1,32,1121.8666666666666,1151.16,0,32,4025
1,33,1285.1,1153.4,0,33,4034
1,34,656.875,1153.875,0,34,4039
1,35,1110.923076923077,1153.8974358974358,0,35,4042
1,36,1126.7857142857142,1155.547619047619,0,36,4043
1,37,1116.5526315789473,1156.342105263158,0,37,4048
1,38,1125.25,1157.9166666666667,0,38,4067
1,39,616.9166666666666,1174.375,0,39,4175
1,40,558.2758620689655,1197.6206896551723,0,40,4342
1,41,558.6923076923077,1205.3846153846155,0,41,4414
1,42,1232.6666666666667,1204.6666666666667,0,42,4420
1,43,465.64516129032256,1209.4516129032259,0,43,4442
1,44,556.1111111111111,1221.3333333333333,0,44,4547
1,45,1478.5833333333333,1222.5833333333333,0,45,4555
1,46,620.7692307692307,1226.3076923076924,0,46,4575
1,47,778.2222222222222,1233.4444444444443,0,47,4630
1,48,1205.2727272727273,1234.8181818181818,0,48,4646
1,49,721.074074074074,1239.4074074074074,0,49,4682
1,50,796.8125,1241.0,0,50,4685
1,51,1273.0,1241.0,0,51,4689
1,52,654.8421052631579,1252.157894736842,0,52,4752
1,53,664.3333333333334,1254.388888888889,0,53,4760
1,54,1227.5416666666667,1257.638888888889,0,54,4771
1,55,1527.6938775510205,1259.530612244898,0,55,4789
1,56,1321.9333333333334,1258.6,0,56,4790
1,57,1237.4285714285713,1258.1020408163265,0,57,4797
1,58,1243.1063829787233,1262.4468085106382,0,58,4811
1,59,613.030303030303,1266.2424242424242,0,59,4845
1,60,604.3709677419355,1267.7903225806451,0,60,4865
1,61,1317.8,1270.5,0,61,4868
1,62,663.4444444444445,1271.7777777777778,0,62,4874
1,63,1502.04,1275.8,0,63,4895
1,64,1322.0263157894738,1275.157894736842,0,64,4903
1,65,597.8055555555555,1275.2222222222222,0,65,4908
1,66,1441.8125,1279.375,0,66,4920
1,67,646.7391304347826,1283.8695652173913,0,67,4954
1,68,917.5833333333334,1280.9583333333333,0,68,4955
1,69,1252.2758620689656,1286.9310344827586,0,69,4957
1,70,1512.0,1287.3636363636363,0,70,4979
1,71,791.060606060606,1290.909090909091,0,71,4998
1,72,859.3125,1294.625,0,72,5015
1,73,860.8181818181819,1297.3181818181818,0,73,5034
1,74,1261.1904761904761,1306.1904761904761,0,74,5105
1,75,1456.4814814814815,1309.7037037037037,0,75,5139
1,76,967.4117647058823,1312.5,0,76,5163
1,77,1264.0,1311.0,0,77,5165
1,78,1137.6153846153845,1314.6153846153845,0,78,5180
1,79,1275.4285714285713,1314.5714285714287,0,79,5188
1,80,1270.6969696969697,1316.3333333333333,0,80,5192
1,81,1468.5681818181818,1317.8863636363637,0,81,5205
1,82,1266.6190476190477,1326.0,0,82,5270
1,83,715.6,1333.96,0,83,5334
1,84,531.3333333333334,1336.0,0,84,5362
1,85,535.5714285714286,1344.204081632653,0,85,5424
1,86,1446.5,1353.0,0,86,5496
1,87,1356.111111111111,1354.3333333333333,0,87,5520
1,88,1360.3809523809523,1356.047619047619,0,88,5526
1,89,1365.111111111111,1359.111111111111,0,89,5574
1,90,1352.125,1361.375,0,90,5599
1,91,1343.0714285714287,1362.5714285714287,0,91,5626
1,92,717.2592592592592,1365.4074074074074,0,92,5632
1,93,814.5833333333334,1366.25,0,93,5659
1,94,1339.8125,1366.0625,0,94,5661
1,95,1349.1875,1366.75,0,95,5669
1,96,1469.4166666666667,1368.0,0,96,5692
1,97,1349.7142857142858,1374.5,0,97,5747
1,98,1346.2380952380952,1375.3809523809523,0,98,5765
1,99,1338.8285714285714,1375.857142857143,0,99,5777
1,100,1350.5217391304348,1379.391304347826,0,100,5788
1,101,1342.5897435897436,1380.4871794871794,0,101,5806
1,102,568.9230769230769,1392.423076923077,0,102,5900
1,103,1641.5849056603774,1403.7735849056603,0,103,5993
1,104,454.1521739130435,1411.0869565217392,0,104,6067
1,105,1464.1714285714286,1428.8857142857144,0,105,6245
1,106,1457.828125,1430.578125,0,106,6267
1,107,1459.8026315789473,1438.078947368421,0,107,6327
1,108,1081.0,1442.6923076923076,0,108,6352
1,109,519.2325581395348,1445.7674418604652,0,109,6383
1,110,1749.2121212121212,1449.2121212121212,0,110,6418
1,111,665.5833333333334,1457.0,0,111,6453
1,112,1710.1666666666667,1459.388888888889,0,112,6465
1,113,704.5961538461538,1462.5961538461538,0,113,6484
1,114,508.0,1463.3846153846155,0,114,6506
1,115,1715.2558139534883,1466.093023255814,0,115,6515
1,116,740.3846153846154,1466.4615384615386,0,116,6523
1,117,767.875,1468.3333333333333,0,117,6532
1,118,553.5862068965517,1473.7931034482758,0,118,6583
1,119,1341.855072463768,1474.6666666666667,0,119,6588
1,120,561.5714285714286,1484.904761904762,0,120,6653
1,121,531.4166666666666,1485.3095238095239,0,121,6663
1,122,1088.2,1499.2,0,122,6736
1,123,536.5,1500.7,0,123,6749
1,124,743.4166666666666,1509.75,0,124,6813
1,125,765.2,1509.6,0,125,6814
1,126,502.4,1513.2,0,126,6833
1,127,476.61538461538464,1517.5384615384614,0,127,6849
1,128,497.3,1532.4,0,128,6979
1,129,432.57142857142856,1533.904761904762,0,129,6997
1,130,436.0769230769231,1533.0384615384614,0,130,6998
1,131,437.5,1538.5,0,131,7026
1,132,496.59090909090907,1539.090909090909,0,132,7027
1,133,686.8846153846154,1540.2307692307693,0,133,7041
1,134,435.86206896551727,1545.2758620689656,0,134,7090
1,135,679.4736842105264,1548.1315789473683,0,135,7118
1,136,483.5625,1550.6875,0,136,7124
1,137,708.9375,1551.6875,0,137,7142
1,138,732.55,1554.35,0,138,7160
