ImageNumber,ObjectNumber,Children_RNA_Green_Count,Children_RNA_Red_Count,Children_RNA_TUJ_Count,Classify_colocalized,Classify_colocalized,Classify_not_colocalized,Classify_not_colocalized,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_RNA_Green_Location_Center_X,Mean_RNA_Green_Location_Center_Y,Mean_RNA_Green_Location_Center_Z,Mean_RNA_Green_Number_Object_Number,Mean_RNA_Red_Location_Center_X,Mean_RNA_Red_Location_Center_Y,Mean_RNA_Red_Location_Center_Z,Mean_RNA_Red_Number_Object_Number,Mean_RNA_TUJ_Location_Center_X,Mean_RNA_TUJ_Location_Center_Y,Mean_RNA_TUJ_Location_Center_Z,Mean_RNA_TUJ_Number_Object_Number,Number_Object_Number
1,1,0,0,0,0,0,1,1,1113.7760617760619,319.94980694980694,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1
1,2,0,0,1,0,0,1,1,1404.4299065420562,346.49532710280374,0,nan,nan,nan,nan,nan,nan,nan,nan,1407.4444444444443,351.1111111111111,0.0,1212.0,2
1,3,0,0,0,0,0,1,1,963.0477528089888,351.75280898876406,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3
1,4,0,0,4,0,0,1,1,1411.3565217391304,353.55652173913046,0,nan,nan,nan,nan,nan,nan,nan,nan,1412.6540098566309,353.8085237455197,0.0,1237.75,4
1,5,0,0,0,0,0,1,1,987.5548387096774,352.38709677419354,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,5
1,6,0,0,3,0,0,1,1,1320.5696517412935,351.5,0,nan,nan,nan,nan,nan,nan,nan,nan,1320.2118347338935,354.89005602240894,0.0,1248.6666666666667,6
1,7,0,0,1,0,0,1,1,1258.1633986928105,366.2124183006536,0,nan,nan,nan,nan,nan,nan,nan,nan,1262.625,370.625,0.0,1404.0,7
1,8,0,0,2,0,0,1,1,934.5283018867924,359.44025157232704,0,nan,nan,nan,nan,nan,nan,nan,nan,927.21875,351.30625,0.0,1216.0,8
1,9,0,0,0,0,0,1,1,1004.0458015267176,363.7251908396947,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9
1,10,0,0,13,0,0,1,1,1395.8266509433963,365.97759433962267,0,nan,nan,nan,nan,nan,nan,nan,nan,1400.0596212353635,367.4247032094526,0.0,1365.923076923077,10
1,11,0,0,2,0,0,1,1,1335.9555555555555,362.56825396825394,0,nan,nan,nan,nan,nan,nan,nan,nan,1333.1,369.0,0.0,1383.5,11
1,12,0,0,3,0,0,1,1,1319.9055793991417,371.6309012875536,0,nan,nan,nan,nan,nan,nan,nan,nan,1319.4644607843138,371.8198529411764,0.0,1407.6666666666667,12
1,13,0,0,0,0,0,1,1,1359.858407079646,370.9911504424779,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13
1,14,0,0,0,0,0,1,1,953.8214285714286,373.75396825396825,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,14
1,15,0,0,0,0,0,1,1,1125.6772908366534,377.59362549800795,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,15
1,16,0,0,0,0,0,1,1,1725.4474708171206,382.1712062256809,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,16
1,17,0,0,0,0,0,1,1,1109.020771513353,377.6913946587537,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,17
1,18,0,0,2,0,0,1,1,1331.9333333333334,379.0111111111111,0,nan,nan,nan,nan,nan,nan,nan,nan,1328.25,377.5,0.0,1465.0,18
1,19,0,0,0,0,0,1,1,1716.7894736842106,382.0375939849624,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,19
1,20,0,0,3,0,0,1,1,1677.5959367945825,382.25056433408577,0,nan,nan,nan,nan,nan,nan,nan,nan,1679.2386363636363,382.8787878787878,0.0,1528.3333333333333,20
1,21,0,0,0,0,0,1,1,983.1012805587893,377.0861466821886,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,21
1,22,0,0,1,0,0,1,1,1399.9574468085107,383.25531914893617,0,nan,nan,nan,nan,nan,nan,nan,nan,1402.090909090909,389.3636363636364,0.0,1585.0,22
1,23,0,0,0,0,0,1,1,939.1400709219859,387.4148936170213,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23
