ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_GreenWithinDAPI
1,1,1223.1666666666667,468.9166666666667,0,1,9
1,2,1299.5,482.5,0,2,12
1,3,1302.0,484.0,0,3,14
1,4,1236.7777777777778,485.8888888888889,0,4,15
1,5,1419.909090909091,736.3636363636364,0,5,30
1,6,1474.6666666666667,747.8888888888889,0,6,32
1,7,1415.111111111111,748.6666666666666,0,7,33
1,8,787.7142857142857,766.5,0,8,34
1,9,793.8928571428571,784.3928571428571,0,9,36
1,10,791.8888888888889,788.5555555555555,0,10,37
1,11,794.8461538461538,790.5384615384615,0,11,38
1,12,798.1666666666666,792.1666666666666,0,12,39
1,13,1503.0,808.0,0,13,41
1,14,750.125,821.5,0,14,43
1,15,736.9354838709677,876.9354838709677,0,15,45
1,16,734.074074074074,882.5555555555555,0,16,46
1,17,825.0,913.0,0,17,48
1,18,1149.111111111111,961.9444444444445,0,18,50
1,19,1052.75,963.5833333333334,0,19,51
1,20,1299.7222222222222,979.9444444444445,0,20,59
1,21,1291.578947368421,989.2631578947369,0,21,60
1,22,1296.2727272727273,990.2727272727273,0,22,61
1,23,1322.0,1001.5,0,23,62
1,24,1325.6666666666667,1001.7777777777778,0,24,63
1,25,1131.0,1005.0,0,25,65
1,26,1242.5,1011.2857142857143,0,26,67
1,27,1160.875,1018.875,0,27,69
1,28,520.741935483871,1022.258064516129,0,28,71
1,29,516.6666666666666,1023.1111111111111,0,29,72
1,30,1264.8235294117646,1027.4705882352941,0,30,74
1,31,1261.7692307692307,1029.3076923076924,0,31,75
1,32,1245.35,1037.7,0,32,80
1,33,1271.4545454545455,1039.2272727272727,0,33,81
1,34,1274.6153846153845,1042.8076923076924,0,34,85
1,35,1234.0625,1048.0,0,35,88
1,36,435.5,1091.7142857142858,0,36,103
1,37,489.6363636363636,1093.7272727272727,0,37,104
1,38,1063.875,1101.875,0,38,105
1,39,1201.0983606557377,1139.8524590163934,0,39,122
1,40,821.5555555555555,1144.7777777777778,0,40,125
1,41,1108.7368421052631,1152.0,0,41,130
1,42,1286.5,1154.0,0,42,133
1,43,656.9090909090909,1155.3636363636363,0,43,135
1,44,1111.6,1154.65,0,44,136
