ImageNumber,ObjectNumber,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_TUJWithinDAPI
1,1,857.0625,433.0625,0,1,109
1,2,833.6,436.9428571428571,0,2,110
1,3,840.4117647058823,436.88235294117646,0,3,111
1,4,1247.4615384615386,436.84615384615387,0,4,112
1,5,838.1860465116279,441.48837209302326,0,5,115
1,6,800.9375,447.375,0,6,123
1,7,859.9411764705883,451.4117647058824,0,7,127
1,8,862.4,453.5,0,8,133
1,9,1257.9649122807018,457.0877192982456,0,9,139
1,10,859.8,456.9,0,10,140
1,11,868.8571428571429,456.92857142857144,0,11,141
1,12,875.1111111111111,458.3333333333333,0,12,143
1,13,1216.3958333333333,461.7083333333333,0,13,150
1,14,1225.4588235294118,461.91764705882355,0,14,151
1,15,1276.939393939394,461.1818181818182,0,15,152
1,16,1204.888888888889,465.22222222222223,0,16,153
1,17,1213.4594594594594,466.27027027027026,0,17,156
1,18,1259.88,466.12,0,18,157
1,19,1220.8529411764705,467.9117647058824,0,19,159
1,20,1279.8181818181818,467.0,0,20,160
1,21,1233.7391304347825,467.7826086956522,0,21,161
1,22,1273.5,468.2857142857143,0,22,162
1,23,1263.0,470.7083333333333,0,23,164
1,24,1277.2758620689656,470.7241379310345,0,24,165
1,25,866.0,472.0,0,25,167
1,26,1216.2222222222222,472.44444444444446,0,26,168
1,27,1267.45,471.2,0,27,169
1,28,1256.3333333333333,474.3333333333333,0,28,172
1,29,1224.0,473.5,0,29,175
1,30,1229.642857142857,473.6666666666667,0,30,176
1,31,862.0769230769231,475.3076923076923,0,31,178
1,32,865.7083333333334,476.0833333333333,0,32,179
1,33,1267.2222222222222,475.3888888888889,0,33,180
1,34,835.5555555555555,475.22222222222223,0,34,183
1,35,848.84,478.08,0,35,184
1,36,857.7666666666667,476.1666666666667,0,36,185
1,37,1235.1538461538462,476.4230769230769,0,37,186
1,38,1281.7894736842106,475.7368421052632,0,38,187
1,39,841.5753424657535,476.45205479452056,0,39,188
1,40,1273.4736842105262,477.2105263157895,0,40,189
1,41,879.875,478.875,0,41,192
1,42,1291.578947368421,478.42105263157896,0,42,193
1,43,1347.4,478.8,0,43,194
1,44,1268.576923076923,480.11538461538464,0,44,196
1,45,1296.875,481.125,0,45,198
1,46,1220.909090909091,481.6363636363636,0,46,200
1,47,1228.578947368421,482.3157894736842,0,47,201
1,48,1292.3714285714286,482.85714285714283,0,48,202
1,49,1317.4545454545455,483.6363636363636,0,49,203
1,50,1239.3725490196077,481.70588235294116,0,50,204
1,51,1263.3333333333333,484.44444444444446,0,51,206
1,52,1332.111111111111,483.0,0,52,207
1,53,1231.076923076923,485.3076923076923,0,53,208
1,54,1248.0,484.5,0,54,209
1,55,1259.125,486.125,0,55,210
1,56,1296.90625,485.75,0,56,211
1,57,1304.5,488.8125,0,57,212
1,58,842.1111111111111,488.3333333333333,0,58,214
1,59,1236.2391304347825,486.80434782608694,0,59,215
1,60,831.96,488.9,0,60,217
1,61,857.8888888888889,489.55555555555554,0,61,218
1,62,1263.0,489.5,0,62,219
1,63,1307.4166666666667,489.9166666666667,0,63,221
1,64,1327.888888888889,489.8888888888889,0,64,222
1,65,1366.0,489.5,0,65,223
1,66,852.4,492.06666666666666,0,66,225
1,67,1270.4666666666667,492.1333333333333,0,67,226
1,68,829.85,493.5,0,68,227
1,69,1073.75,492.5833333333333,0,69,228
1,70,836.875,494.875,0,70,231
1,71,840.0,495.0,0,71,232
1,72,845.5555555555555,495.72222222222223,0,72,235
1,73,1264.6521739130435,496.3478260869565,0,73,236
1,74,838.75,500.125,0,74,246
1,75,1205.75,501.625,0,75,248
1,76,851.9705882352941,504.1764705882353,0,76,252
1,77,1198.5,503.875,0,77,253
1,78,1200.5,505.0,0,78,254
1,79,1370.235294117647,504.4117647058824,0,79,256
1,80,835.7375,507.75,0,80,259
1,81,1319.0,508.0,0,81,261
1,82,1366.0,509.9,0,82,262
1,83,1231.04,507.36,0,83,265
1,84,1282.6666666666667,509.8,0,84,267
1,85,1293.7916666666667,511.875,0,85,270
1,86,1312.888888888889,511.1111111111111,0,86,271
1,87,1360.6875,510.875,0,87,272
1,88,1237.851851851852,510.8888888888889,0,88,273
1,89,1297.7272727272727,512.2727272727273,0,89,274
1,90,1232.5714285714287,514.0,0,90,278
1,91,845.9090909090909,515.6363636363636,0,91,279
1,92,1248.3333333333333,515.8888888888889,0,92,280
1,93,1314.409090909091,516.1818181818181,0,93,282
1,94,851.7222222222222,518.4444444444445,0,94,285
1,95,1213.5263157894738,517.3684210526316,0,95,286
1,96,841.2352941176471,520.4117647058823,0,96,289
1,97,847.8461538461538,519.1538461538462,0,97,290
1,98,1273.357142857143,519.6428571428571,0,98,292
1,99,1320.4736842105262,519.0526315789474,0,99,293
1,100,1283.75,521.6666666666666,0,100,295
1,101,1313.15,520.5,0,101,296
