ImageNumber,ObjectNumber,Children_GreenWithinDAPI_Count,Children_TUJWithinDAPI_Count,Classify_colocalized,Classify_colocalized,Classify_not_colocalized,Classify_not_colocalized,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_GreenWithinDAPI_Location_Center_X,Mean_GreenWithinDAPI_Location_Center_Y,Mean_GreenWithinDAPI_Location_Center_Z,Mean_GreenWithinDAPI_Number_Object_Number,Mean_TUJWithinDAPI_Location_Center_X,Mean_TUJWithinDAPI_Location_Center_Y,Mean_TUJWithinDAPI_Location_Center_Z,Mean_TUJWithinDAPI_Number_Object_Number,Number_Object_Number,Parent_RNA_Red
1,1,0,0,0,0,1,1,1338.5,387.0,0,nan,nan,nan,nan,nan,nan,nan,nan,1,1
1,2,0,0,0,0,1,1,1732.3636363636363,423.45454545454544,0,nan,nan,nan,nan,nan,nan,nan,nan,2,29
1,3,0,0,0,0,1,1,1218.4,426.93333333333334,0,nan,nan,nan,nan,nan,nan,nan,nan,3,35
1,4,0,0,0,0,1,1,854.125,428.875,0,nan,nan,nan,nan,nan,nan,nan,nan,4,39
1,5,0,1,1,1,0,0,859.3846153846154,429.61538461538464,0,nan,nan,nan,nan,857.0625,433.0625,0.0,109.0,5,40
1,6,0,0,0,0,1,1,1235.421052631579,428.89473684210526,0,nan,nan,nan,nan,nan,nan,nan,nan,6,42
1,7,0,0,0,0,1,1,957.0,429.85714285714283,0,nan,nan,nan,nan,nan,nan,nan,nan,7,43
1,8,0,0,0,0,1,1,952.5,430.0,0,nan,nan,nan,nan,nan,nan,nan,nan,8,47
1,9,0,0,0,0,1,1,962.75,430.6666666666667,0,nan,nan,nan,nan,nan,nan,nan,nan,9,48
1,10,0,0,0,0,1,1,969.9821428571429,431.2142857142857,0,nan,nan,nan,nan,nan,nan,nan,nan,10,49
1,11,0,0,0,0,1,1,854.1111111111111,432.3333333333333,0,nan,nan,nan,nan,nan,nan,nan,nan,11,51
1,12,0,0,0,0,1,1,948.6111111111111,433.19444444444446,0,nan,nan,nan,nan,nan,nan,nan,nan,12,54
1,13,0,0,0,0,1,1,1238.0,433.0,0,nan,nan,nan,nan,nan,nan,nan,nan,13,56
1,14,0,0,0,0,1,1,935.0588235294117,433.7647058823529,0,nan,nan,nan,nan,nan,nan,nan,nan,14,59
1,15,0,0,0,0,1,1,957.7666666666667,433.6333333333333,0,nan,nan,nan,nan,nan,nan,nan,nan,15,60
1,16,0,1,1,1,0,0,1248.195652173913,434.0869565217391,0,nan,nan,nan,nan,1247.4615384615386,436.84615384615387,0.0,112.0,16,62
1,17,0,0,0,0,1,1,939.7692307692307,436.4871794871795,0,nan,nan,nan,nan,nan,nan,nan,nan,17,63
1,18,0,0,0,0,1,1,1222.4545454545455,435.8181818181818,0,nan,nan,nan,nan,nan,nan,nan,nan,18,64
1,19,0,0,0,0,1,1,1234.2941176470588,434.6470588235294,0,nan,nan,nan,nan,nan,nan,nan,nan,19,65
1,20,0,2,1,1,0,0,838.2777777777778,436.22222222222223,0,nan,nan,nan,nan,837.0058823529412,436.9126050420168,0.0,110.5,20,66
1,21,0,0,0,0,1,1,852.8461538461538,435.7692307692308,0,nan,nan,nan,nan,nan,nan,nan,nan,21,67
1,22,0,0,0,0,1,1,944.7333333333333,437.4,0,nan,nan,nan,nan,nan,nan,nan,nan,22,69
1,23,0,0,0,0,1,1,967.3333333333334,435.8333333333333,0,nan,nan,nan,nan,nan,nan,nan,nan,23,70
1,24,0,0,0,0,1,1,1241.9166666666667,434.75,0,nan,nan,nan,nan,nan,nan,nan,nan,24,71
1,25,0,0,0,0,1,1,949.5,437.0,0,nan,nan,nan,nan,nan,nan,nan,nan,25,73
1,26,0,0,0,0,1,1,953.8125,436.8125,0,nan,nan,nan,nan,nan,nan,nan,nan,26,74
1,27,0,0,0,0,1,1,962.6071428571429,436.32142857142856,0,nan,nan,nan,nan,nan,nan,nan,nan,27,75
1,28,0,0,0,0,1,1,935.2941176470588,437.29411764705884,0,nan,nan,nan,nan,nan,nan,nan,nan,28,80
1,29,0,0,0,0,1,1,960.7619047619048,440.0952380952381,0,nan,nan,nan,nan,nan,nan,nan,nan,29,84
1,30,0,0,0,0,1,1,1241.2,438.93333333333334,0,nan,nan,nan,nan,nan,nan,nan,nan,30,87
1,31,0,0,0,0,1,1,952.5714285714286,440.2857142857143,0,nan,nan,nan,nan,nan,nan,nan,nan,31,91
1,32,0,0,0,0,1,1,1233.357142857143,440.35714285714283,0,nan,nan,nan,nan,nan,nan,nan,nan,32,94
1,33,0,1,1,1,0,0,837.2857142857143,440.5,0,nan,nan,nan,nan,838.1860465116279,441.48837209302326,0.0,115.0,33,96
1,34,0,0,0,0,1,1,949.0,441.5,0,nan,nan,nan,nan,nan,nan,nan,nan,34,99
1,35,0,0,0,0,1,1,967.65625,440.46875,0,nan,nan,nan,nan,nan,nan,nan,nan,35,100
1,36,0,0,0,0,1,1,1229.8823529411766,442.11764705882354,0,nan,nan,nan,nan,nan,nan,nan,nan,36,103
1,37,0,0,0,0,1,1,911.8571428571429,441.92857142857144,0,nan,nan,nan,nan,nan,nan,nan,nan,37,106
1,38,0,0,0,0,1,1,941.9,441.75,0,nan,nan,nan,nan,nan,nan,nan,nan,38,107
1,39,0,0,0,0,1,1,1255.909090909091,442.0,0,nan,nan,nan,nan,nan,nan,nan,nan,39,110
1,40,0,0,0,0,1,1,861.68,442.8,0,nan,nan,nan,nan,nan,nan,nan,nan,40,112
1,41,0,0,0,0,1,1,909.0,443.0,0,nan,nan,nan,nan,nan,nan,nan,nan,41,113
1,42,0,0,0,0,1,1,915.9411764705883,443.2352941176471,0,nan,nan,nan,nan,nan,nan,nan,nan,42,114
1,43,0,0,0,0,1,1,959.4285714285714,443.2857142857143,0,nan,nan,nan,nan,nan,nan,nan,nan,43,115
1,44,0,0,0,0,1,1,870.8,444.6,0,nan,nan,nan,nan,nan,nan,nan,nan,44,122
1,45,0,0,0,0,1,1,875.64,445.44,0,nan,nan,nan,nan,nan,nan,nan,nan,45,123
1,46,0,0,0,0,1,1,919.5625,445.84375,0,nan,nan,nan,nan,nan,nan,nan,nan,46,124
1,47,0,0,0,0,1,1,1234.9655172413793,445.62068965517244,0,nan,nan,nan,nan,nan,nan,nan,nan,47,129
1,48,0,0,0,0,1,1,880.7058823529412,447.2352941176471,0,nan,nan,nan,nan,nan,nan,nan,nan,48,132
1,49,0,0,0,0,1,1,911.9130434782609,447.17391304347825,0,nan,nan,nan,nan,nan,nan,nan,nan,49,133
1,50,0,0,0,0,1,1,955.375,444.5625,0,nan,nan,nan,nan,nan,nan,nan,nan,50,134
1,51,0,1,1,1,0,0,802.25,448.125,0,nan,nan,nan,nan,800.9375,447.375,0.0,123.0,51,139
1,52,0,0,0,0,1,1,966.9117647058823,449.6617647058824,0,nan,nan,nan,nan,nan,nan,nan,nan,52,143
1,53,0,0,0,0,1,1,1232.125,448.125,0,nan,nan,nan,nan,nan,nan,nan,nan,53,150
1,54,0,2,1,1,0,0,859.8817204301075,451.18279569892474,0,nan,nan,nan,nan,861.1705882352942,452.4558823529412,0.0,130.0,54,155
1,55,0,0,0,0,1,1,909.0,451.2758620689655,0,nan,nan,nan,nan,nan,nan,nan,nan,55,156
1,56,0,0,0,0,1,1,915.1379310344828,450.37931034482756,0,nan,nan,nan,nan,nan,nan,nan,nan,56,157
1,57,0,0,0,0,1,1,923.8245614035088,452.1929824561403,0,nan,nan,nan,nan,nan,nan,nan,nan,57,158
1,58,0,0,0,0,1,1,1711.0,451.0,0,nan,nan,nan,nan,nan,nan,nan,nan,58,161
1,59,0,0,0,0,1,1,880.8846153846154,450.96153846153845,0,nan,nan,nan,nan,nan,nan,nan,nan,59,163
1,60,0,0,0,0,1,1,895.421052631579,451.42105263157896,0,nan,nan,nan,nan,nan,nan,nan,nan,60,164
1,61,0,0,0,0,1,1,918.4722222222222,452.80555555555554,0,nan,nan,nan,nan,nan,nan,nan,nan,61,165
1,62,0,0,0,0,1,1,984.0,451.52777777777777,0,nan,nan,nan,nan,nan,nan,nan,nan,62,166
1,63,0,0,0,0,1,1,991.0,452.3103448275862,0,nan,nan,nan,nan,nan,nan,nan,nan,63,167
1,64,0,0,0,0,1,1,1279.3333333333333,452.25,0,nan,nan,nan,nan,nan,nan,nan,nan,64,169
1,65,0,0,0,0,1,1,929.34375,452.78125,0,nan,nan,nan,nan,nan,nan,nan,nan,65,172
1,66,0,0,0,0,1,1,942.0882352941177,453.38235294117646,0,nan,nan,nan,nan,nan,nan,nan,nan,66,173
1,67,0,0,0,0,1,1,1276.3636363636363,452.6363636363636,0,nan,nan,nan,nan,nan,nan,nan,nan,67,174
1,68,0,0,0,0,1,1,876.2857142857143,454.2142857142857,0,nan,nan,nan,nan,nan,nan,nan,nan,68,175
1,69,0,0,0,0,1,1,904.0833333333334,453.75,0,nan,nan,nan,nan,nan,nan,nan,nan,69,177
1,70,0,0,0,0,1,1,935.9583333333334,453.7083333333333,0,nan,nan,nan,nan,nan,nan,nan,nan,70,178
1,71,0,0,0,0,1,1,1232.5263157894738,453.7894736842105,0,nan,nan,nan,nan,nan,nan,nan,nan,71,181
1,72,0,0,0,0,1,1,1267.3846153846155,453.38461538461536,0,nan,nan,nan,nan,nan,nan,nan,nan,72,182
1,73,0,0,0,0,1,1,882.1428571428571,455.2142857142857,0,nan,nan,nan,nan,nan,nan,nan,nan,73,184
1,74,0,0,0,0,1,1,897.0666666666667,454.6,0,nan,nan,nan,nan,nan,nan,nan,nan,74,185
1,75,0,0,0,0,1,1,946.875,455.125,0,nan,nan,nan,nan,nan,nan,nan,nan,75,186
1,76,0,0,0,0,1,1,977.5,454.71875,0,nan,nan,nan,nan,nan,nan,nan,nan,76,187
1,77,0,0,0,0,1,1,1295.125,454.875,0,nan,nan,nan,nan,nan,nan,nan,nan,77,190
1,78,0,0,0,0,1,1,1345.090909090909,454.6363636363636,0,nan,nan,nan,nan,nan,nan,nan,nan,78,191
1,79,0,0,0,0,1,1,950.3076923076923,456.0769230769231,0,nan,nan,nan,nan,nan,nan,nan,nan,79,193
1,80,0,0,0,0,1,1,986.0454545454545,456.0,0,nan,nan,nan,nan,nan,nan,nan,nan,80,194
1,81,0,0,0,0,1,1,992.6382978723404,457.78723404255317,0,nan,nan,nan,nan,nan,nan,nan,nan,81,195
1,82,0,1,1,1,0,0,866.6363636363636,457.75757575757575,0,nan,nan,nan,nan,868.8571428571429,456.92857142857144,0.0,141.0,82,200
1,83,0,0,0,0,1,1,929.25,457.5,0,nan,nan,nan,nan,nan,nan,nan,nan,83,201
1,84,0,0,0,0,1,1,954.5,457.5,0,nan,nan,nan,nan,nan,nan,nan,nan,84,202
1,85,0,0,0,0,1,1,971.4285714285714,457.14285714285717,0,nan,nan,nan,nan,nan,nan,nan,nan,85,203
1,86,0,1,1,1,0,0,875.65,458.275,0,nan,nan,nan,nan,875.1111111111111,458.3333333333333,0.0,143.0,86,209
1,87,0,0,0,0,1,1,898.9230769230769,457.2307692307692,0,nan,nan,nan,nan,nan,nan,nan,nan,87,210
1,88,0,0,0,0,1,1,908.1714285714286,457.6714285714286,0,nan,nan,nan,nan,nan,nan,nan,nan,88,211
1,89,0,0,0,0,1,1,936.5681818181819,458.27272727272725,0,nan,nan,nan,nan,nan,nan,nan,nan,89,212
1,90,0,0,0,0,1,1,965.015873015873,457.8412698412698,0,nan,nan,nan,nan,nan,nan,nan,nan,90,213
1,91,0,0,0,0,1,1,983.125,458.0625,0,nan,nan,nan,nan,nan,nan,nan,nan,91,214
1,92,0,0,0,0,1,1,1232.060606060606,457.54545454545456,0,nan,nan,nan,nan,nan,nan,nan,nan,92,216
1,93,0,1,1,1,0,0,858.64,460.86,0,nan,nan,nan,nan,859.8,456.9,0.0,140.0,93,218
1,94,0,0,0,0,1,1,916.0,458.8076923076923,0,nan,nan,nan,nan,nan,nan,nan,nan,94,220
1,95,0,0,0,0,1,1,920.7894736842105,458.6842105263158,0,nan,nan,nan,nan,nan,nan,nan,nan,95,221
1,96,0,0,0,0,1,1,898.5510204081633,461.83673469387753,0,nan,nan,nan,nan,nan,nan,nan,nan,96,226
1,97,0,0,0,0,1,1,945.5769230769231,460.11538461538464,0,nan,nan,nan,nan,nan,nan,nan,nan,97,227
1,98,0,0,0,0,1,1,973.925925925926,459.6666666666667,0,nan,nan,nan,nan,nan,nan,nan,nan,98,228
1,99,0,0,0,0,1,1,978.4,460.4,0,nan,nan,nan,nan,nan,nan,nan,nan,99,229
1,100,0,0,0,0,1,1,1235.3793103448277,460.1034482758621,0,nan,nan,nan,nan,nan,nan,nan,nan,100,234
1,101,0,1,1,1,0,0,1262.0,459.85714285714283,0,nan,nan,nan,nan,1257.9649122807018,457.0877192982456,0.0,139.0,101,235
1,102,0,0,0,0,1,1,949.8888888888889,459.6666666666667,0,nan,nan,nan,nan,nan,nan,nan,nan,102,236
1,103,0,0,0,0,1,1,953.5,461.5,0,nan,nan,nan,nan,nan,nan,nan,nan,103,237
1,104,0,0,0,0,1,1,930.8636363636364,461.3181818181818,0,nan,nan,nan,nan,nan,nan,nan,nan,104,241
1,105,0,1,1,1,0,0,1228.6153846153845,462.38461538461536,0,nan,nan,nan,nan,1225.4588235294118,461.91764705882355,0.0,151.0,105,243
1,106,0,0,0,0,1,1,1249.5925925925926,462.6666666666667,0,nan,nan,nan,nan,nan,nan,nan,nan,106,244
1,107,0,0,0,0,1,1,841.0,462.8888888888889,0,nan,nan,nan,nan,nan,nan,nan,nan,107,245
1,108,0,0,0,0,1,1,915.0833333333334,464.0833333333333,0,nan,nan,nan,nan,nan,nan,nan,nan,108,246
1,109,0,2,1,1,0,0,1277.3181818181818,462.95454545454544,0,nan,nan,nan,nan,1278.378787878788,464.0909090909091,0.0,156.0,109,250
1,110,0,0,0,0,1,1,844.6153846153846,464.5769230769231,0,nan,nan,nan,nan,nan,nan,nan,nan,110,254
1,111,0,0,0,0,1,1,850.2608695652174,464.2173913043478,0,nan,nan,nan,nan,nan,nan,nan,nan,111,255
1,112,0,0,0,0,1,1,867.0,463.2307692307692,0,nan,nan,nan,nan,nan,nan,nan,nan,112,256
