ImageNumber,ObjectNumber,Children_GreenTUJColocal_Count,Children_RedTUJColocal_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_GreenWithinDAPI,Parent_RNA_TUJ,Parent_RedWithinDAPI
1,1,0,0,1321.1176470588234,340.70588235294116,0,1,0,1111,0
1,2,0,0,1394.5384615384614,344.38461538461536,0,2,0,1137,0
1,3,0,0,1414.0555555555557,346.6111111111111,0,3,0,1190,0
1,4,0,0,928.9375,349.8125,0,4,0,1204,0
1,5,0,0,1407.4444444444443,351.1111111111111,0,5,0,1212,0
1,6,0,0,925.5,352.8,0,6,0,1228,0
1,7,0,0,1405.9354838709678,355.93548387096774,0,7,0,1236,0
1,8,0,0,1414.625,355.1875,0,8,0,1253,0
1,9,0,0,1416.0,357.5,0,9,0,1272,0
1,10,0,0,1401.6923076923076,358.3076923076923,0,10,0,1281,0
1,11,0,0,1320.142857142857,359.7142857142857,0,11,0,1291,0
1,12,0,0,1404.25,359.875,0,12,0,1292,0
1,13,0,0,1410.5862068965516,360.62068965517244,0,13,0,1293,0
1,14,0,0,1399.65,360.55,0,14,0,1305,0
1,15,0,0,1413.8461538461538,360.2307692307692,0,15,0,1306,0
1,16,0,0,1312.5625,364.6875,0,16,0,1322,0
1,17,0,0,1396.2222222222222,363.22222222222223,0,17,0,1323,0
1,18,0,0,1319.375,364.25,0,18,0,1344,0
1,19,0,0,1326.125,367.125,0,19,0,1366,0
1,20,0,0,1328.0,368.0,0,20,0,1375,0
1,21,0,0,1338.2,370.0,0,21,0,1392,0
1,22,0,0,1262.625,370.625,0,22,0,1404,0
1,23,0,0,1406.0,373.0,0,23,0,1424,0
1,24,0,0,1400.5882352941176,374.6470588235294,0,24,0,1431,0
1,25,0,0,1329.5,375.0,0,25,0,1439,0
1,26,0,0,1406.2,377.9,0,26,0,1447,0
1,27,0,0,1398.7368421052631,377.63157894736844,0,27,0,1469,0
1,28,0,0,1687.090909090909,377.6363636363636,0,28,0,1470,0
1,29,0,0,1327.0,380.0,0,29,0,1491,0
1,30,0,0,1383.909090909091,381.8181818181818,0,30,0,1503,0
1,31,0,0,1341.375,383.25,0,31,0,1519,0
1,32,0,0,1319.7058823529412,383.6470588235294,0,32,0,1535,0
1,33,0,0,1384.5555555555557,384.3333333333333,0,33,0,1546,0
1,34,0,0,1668.875,385.875,0,34,0,1557,0
1,35,0,0,1681.75,385.125,0,35,0,1558,0
1,36,0,0,1435.357142857143,387.2142857142857,0,36,0,1568,0
1,37,0,0,837.4166666666666,387.75,0,37,0,1574,0
1,38,0,0,824.9333333333333,389.2,0,38,0,1584,0
1,39,0,0,1402.090909090909,389.3636363636364,0,39,0,1585,0
1,40,0,0,1591.8,389.1,0,40,0,1586,0
1,41,0,0,847.125,390.125,0,41,0,1595,0
1,42,0,0,1605.5454545454545,390.3636363636364,0,42,0,1596,0
1,43,0,0,880.952380952381,390.85714285714283,0,43,0,1608,0
1,44,0,0,1334.8148148148148,391.18518518518516,0,44,0,1609,0
1,45,0,0,832.6428571428571,391.85714285714283,0,45,0,1624,0
1,46,0,0,1348.1538461538462,392.0,0,46,0,1625,0
1,47,0,0,823.9411764705883,393.7647058823529,0,47,0,1634,0
1,48,0,0,1707.2,393.0,0,48,0,1637,0
1,49,0,0,1360.888888888889,393.6666666666667,0,49,0,1649,0
1,50,0,0,1711.25,394.0,0,50,0,1650,0
1,51,0,0,1590.125,394.0,0,51,0,1664,0
1,52,0,0,839.4736842105264,397.2631578947368,0,52,0,1678,0
1,53,0,0,1603.4285714285713,397.0,0,53,0,1681,0
1,54,0,0,1634.0,396.25,0,54,0,1682,0
1,55,0,0,1636.2727272727273,397.45454545454544,0,55,0,1683,0
1,56,0,0,830.4782608695652,397.04347826086956,0,56,0,1697,0
1,57,0,0,834.45,395.95,0,57,0,1698,0
1,58,0,0,1591.875,397.875,0,58,0,1699,0
1,59,0,0,820.8965517241379,397.3103448275862,0,59,0,1705,0
1,60,0,0,845.3125,399.0625,0,60,0,1706,0
1,61,0,0,1353.0,399.0,0,61,0,1707,0
1,62,0,0,1336.25,400.0,0,62,0,1724,0
1,63,0,0,831.9285714285714,401.2142857142857,0,63,0,1732,0
1,64,0,0,853.125,401.875,0,64,0,1733,0
1,65,0,0,1671.3636363636363,400.90909090909093,0,65,0,1734,0
