ImageNumber,ObjectNumber,Children_RNA_Green_Count,Children_RNA_Red_Count,Children_RNA_TUJ_Count,Classify_colocalized,Classify_colocalized,Classify_not_colocalized,Classify_not_colocalized,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_RNA_Green_Location_Center_X,Mean_RNA_Green_Location_Center_Y,Mean_RNA_Green_Location_Center_Z,Mean_RNA_Green_Number_Object_Number,Mean_RNA_Red_Location_Center_X,Mean_RNA_Red_Location_Center_Y,Mean_RNA_Red_Location_Center_Z,Mean_RNA_Red_Number_Object_Number,Mean_RNA_TUJ_Location_Center_X,Mean_RNA_TUJ_Location_Center_Y,Mean_RNA_TUJ_Location_Center_Z,Mean_RNA_TUJ_Number_Object_Number,Number_Object_Number
1,1,0,1,0,0,0,1,1,2991.8225806451615,369.4717741935484,0,nan,nan,nan,nan,2989.3333333333335,376.6666666666667,0.0,10.0,nan,nan,nan,nan,1
1,2,0,5,0,0,0,1,1,3020.208722741433,376.6542056074766,0,nan,nan,nan,nan,3018.4072094454705,384.3185552011639,0.0,15.8,nan,nan,nan,nan,2
1,3,0,3,0,0,0,1,1,2991.222222222222,384.875,0,nan,nan,nan,nan,2984.3362193362195,383.1024531024531,0.0,13.666666666666666,nan,nan,nan,nan,3
1,4,0,0,0,0,0,1,1,2441.305263157895,391.3157894736842,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4
1,5,0,5,0,0,0,1,1,3047.113055181696,395.2032301480485,0,nan,nan,nan,nan,3038.540761904762,396.44814285714284,0.0,27.2,nan,nan,nan,nan,5
1,6,0,0,1,0,0,1,1,2842.151724137931,394.6551724137931,0,nan,nan,nan,nan,nan,nan,nan,nan,2840.8,388.0,0.0,8562.0,6
1,7,0,0,1,0,0,1,1,2448.165354330709,400.8503937007874,0,nan,nan,nan,nan,nan,nan,nan,nan,2445.8,402.5,0.0,9172.0,7
1,8,0,2,5,0,0,1,1,2804.205479452055,401.10616438356163,0,nan,nan,nan,nan,2806.0555555555557,403.3921568627451,0.0,34.5,2804.995828877006,399.7292335115865,0.0,9065.2,8
1,9,0,0,0,0,0,1,1,3006.0607902735564,405.6413373860182,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,9
1,10,0,1,0,0,0,1,1,3023.8459119496856,407.19182389937106,0,nan,nan,nan,nan,3027.6666666666665,398.3809523809524,0.0,30.0,nan,nan,nan,nan,10
1,11,0,0,1,0,0,1,1,2437.7597402597403,410.02597402597405,0,nan,nan,nan,nan,nan,nan,nan,nan,2449.1875,415.625,0.0,9721.0,11
1,12,0,0,3,0,0,1,1,2418.1027027027026,414.0162162162162,0,nan,nan,nan,nan,nan,nan,nan,nan,2421.3952380952383,414.0714285714286,0.0,9632.0,12
1,13,0,0,0,0,0,1,1,2371.08,416.68,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,13
1,14,0,3,0,0,0,1,1,3101.9393564356437,403.6980198019802,0,nan,nan,nan,nan,3096.2948717948716,404.59999999999997,0.0,35.0,nan,nan,nan,nan,14
1,15,1,2,0,1,1,0,0,3069.4872262773724,419.8759124087591,0,3071.8,433.0,0.0,4.0,3065.9021739130435,427.633631713555,0.0,78.0,nan,nan,nan,nan,15
1,16,0,0,1,0,0,1,1,2472.3544303797466,416.8607594936709,0,nan,nan,nan,nan,nan,nan,nan,nan,2469.342857142857,419.7142857142857,0.0,9829.0,16
1,17,0,5,1,0,0,1,1,2787.8297872340427,415.3510638297872,0,nan,nan,nan,nan,2786.1515497076025,412.27646542827654,0.0,42.2,2784.5,425.5,0.0,10089.0,17
1,18,0,5,0,0,0,1,1,3037.247619047619,420.0547619047619,0,nan,nan,nan,nan,3041.3294042116077,424.1983590138675,0.0,62.6,nan,nan,nan,nan,18
1,19,0,0,2,0,0,1,1,2488.006451612903,419.36129032258066,0,nan,nan,nan,nan,nan,nan,nan,nan,2486.2412587412587,413.5454545454545,0.0,9630.0,19
1,20,0,0,5,0,0,1,1,2532.747252747253,420.2307692307692,0,nan,nan,nan,nan,nan,nan,nan,nan,2533.768129045877,418.88318674359687,0.0,9826.6,20
1,21,1,0,0,1,1,0,0,3087.641304347826,424.80434782608694,0,3086.3333333333335,426.8888888888889,0.0,3.0,nan,nan,nan,nan,nan,nan,nan,nan,21
1,22,0,0,0,0,0,1,1,2364.74375,427.13125,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,22
1,23,0,0,0,0,0,1,1,2433.50139275766,424.15877437325906,0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,23
1,24,0,7,0,0,0,1,1,3113.396984924623,423.4924623115578,0,nan,nan,nan,nan,3112.4895769890677,422.94694722918405,0.0,62.57142857142857,nan,nan,nan,nan,24
