ImageNumber,ObjectNumber,Children_RedWithinDAPI_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Nuclei
1,1,0,2524.5,39.0,0,1,0
1,2,0,3062.875,120.875,0,2,0
1,3,0,1018.875,153.875,0,3,0
1,4,0,3207.8064516129034,223.09677419354838,0,4,0
1,5,0,3231.375,225.75,0,5,0
1,6,0,3429.48,275.76,0,6,0
1,7,0,3142.5454545454545,289.3636363636364,0,7,0
1,8,0,2069.6363636363635,362.09090909090907,0,8,0
1,9,1,3032.2,372.0,0,9,2
1,10,1,2989.3333333333335,376.6666666666667,0,10,1
1,11,0,3042.190476190476,378.14285714285717,0,11,0
1,12,1,2987.818181818182,379.54545454545456,0,12,3
1,13,1,2983.8571428571427,382.42857142857144,0,13,3
1,14,1,3010.4054054054054,384.4054054054054,0,14,2
1,15,1,3020.3333333333335,385.5,0,15,2
1,16,1,2981.3333333333335,387.3333333333333,0,16,3
1,17,0,3006.625,387.1875,0,17,0
1,18,0,3004.222222222222,389.22222222222223,0,18,0
1,19,1,3013.478260869565,388.7826086956522,0,19,2
1,20,0,3009.277777777778,391.27777777777777,0,20,0
1,21,0,3070.875,391.125,0,21,0
1,22,1,3015.6190476190477,390.9047619047619,0,22,2
1,23,1,3035.6666666666665,391.875,0,23,5
1,24,0,2829.157894736842,397.2105263157895,0,24,0
1,25,1,3094.8,394.5,0,25,14
1,26,1,3035.28,396.68,0,26,5
1,27,1,3040.2,396.4,0,27,5
1,28,1,3050.3571428571427,397.2857142857143,0,28,5
1,29,0,2825.6666666666665,398.77777777777777,0,29,0
1,30,1,3027.6666666666665,398.3809523809524,0,30,10
1,31,0,2890.5454545454545,399.1818181818182,0,31,0
1,32,1,3031.2,400.0,0,32,5
1,33,1,2814.1111111111113,402.6666666666667,0,33,8
1,34,0,3077.0,402.0,0,34,0
1,35,1,3091.3846153846152,402.0,0,35,14
1,36,1,2798.0,404.11764705882354,0,36,8
1,37,1,2790.7,404.4,0,37,17
1,38,1,2790.625,408.875,0,38,17
1,39,1,2783.2105263157896,410.42105263157896,0,39,17
1,40,1,2781.222222222222,414.3333333333333,0,40,17
1,41,1,2803.823529411765,414.05882352941177,0,41,28
1,42,1,2808.5,416.0,0,42,28
1,43,0,3120.6666666666665,416.1111111111111,0,43,0
1,44,0,2724.0,417.8,0,44,0
1,45,1,3102.7,417.3,0,45,14
1,46,1,3113.5806451612902,417.0,0,46,24
1,47,1,2799.875,418.875,0,47,28
1,48,1,2804.5,418.45454545454544,0,48,28
1,49,1,2809.4,419.72,0,49,28
1,50,1,3121.5,419.5,0,50,24
1,51,0,2952.1666666666665,420.9166666666667,0,51,0
1,52,1,2797.0526315789475,421.63157894736844,0,52,28
1,53,1,3052.5757575757575,421.5151515151515,0,53,18
1,54,0,3099.6666666666665,422.5,0,54,0
1,55,1,2719.375,422.75,0,55,27
1,56,1,2724.0,421.5,0,56,27
1,57,1,2785.0,423.3529411764706,0,57,17
1,58,0,2983.125,423.125,0,58,0
1,59,1,3047.0,423.3666666666667,0,59,18
1,60,1,3059.304347826087,422.82608695652175,0,60,15
1,61,1,3107.25,422.5,0,61,24
1,62,1,3111.6315789473683,422.5263157894737,0,62,24
1,63,0,2851.1666666666665,423.9166666666667,0,63,0
1,64,1,3031.3636363636365,424.09090909090907,0,64,18
1,65,1,3103.75,423.6875,0,65,24
1,66,1,2809.3333333333335,425.1111111111111,0,66,28
1,67,1,2792.714285714286,426.5,0,67,28
1,68,1,3035.25,426.375,0,68,18
1,69,1,3040.4576271186443,425.64406779661016,0,69,18
1,70,1,3113.814814814815,425.81481481481484,0,70,24
1,71,1,2830.9166666666665,427.1666666666667,0,71,40
1,72,1,2812.9375,427.9375,0,72,28
1,73,1,2950.875,428.125,0,73,30
1,74,0,2983.3,428.3,0,74,0
1,75,1,3050.688888888889,428.31111111111113,0,75,31
1,76,1,3057.025,427.8,0,76,31
1,77,1,3103.6071428571427,427.75,0,77,37
1,78,0,2781.5384615384614,428.84615384615387,0,78,0
1,79,1,2809.0714285714284,428.85714285714283,0,79,28
1,80,1,2789.5263157894738,429.89473684210526,0,80,28
1,81,1,2794.7368421052633,430.10526315789474,0,81,28
1,82,1,2799.625,429.5,0,82,28
1,83,1,3044.6666666666665,430.8,0,83,31
1,84,1,3115.9,429.6,0,84,24
1,85,1,3119.4,430.4,0,85,37
1,86,0,2984.8888888888887,430.6666666666667,0,86,0
1,87,1,3081.8888888888887,431.6666666666667,0,87,39
1,88,0,2389.315789473684,431.3157894736842,0,88,0
1,89,1,2821.8823529411766,432.0,0,89,26
1,90,0,2977.809523809524,432.23809523809524,0,90,0
1,91,1,3026.705882352941,432.88235294117646,0,91,44
1,92,0,2782.777777777778,432.3333333333333,0,92,0
1,93,1,2791.625,433.1875,0,93,28
1,94,1,3036.318181818182,432.72727272727275,0,94,44
1,95,1,3055.909090909091,432.6363636363636,0,95,31
1,96,1,3072.5,432.44117647058823,0,96,15
1,97,1,3079.8888888888887,433.55555555555554,0,97,39
1,98,1,3095.0666666666666,433.73333333333335,0,98,37
1,99,0,3130.625,433.25,0,99,0
1,100,1,2376.7714285714287,433.6857142857143,0,100,38
1,101,1,2787.5454545454545,434.04545454545456,0,101,28
1,102,1,2804.4666666666667,433.8666666666667,0,102,28
1,103,1,2812.176470588235,435.20588235294116,0,103,28
1,104,1,2816.0526315789475,434.0,0,104,28
1,105,1,3059.809523809524,433.14285714285717,0,105,31
1,106,1,3111.0,434.0,0,106,37
1,107,1,2795.0,435.5,0,107,28
1,108,1,2952.923076923077,433.84615384615387,0,108,30
1,109,0,2982.5882352941176,434.88235294117646,0,109,0
1,110,0,2990.125,434.875,0,110,0
1,111,1,3032.5333333333333,434.93333333333334,0,111,44
1,112,1,3039.090909090909,435.0,0,112,44
1,113,1,3047.1612903225805,435.2258064516129,0,113,31
1,114,0,2941.55,436.65,0,114,0
1,115,1,3021.8333333333335,436.0,0,115,48
1,116,1,3026.269230769231,436.53846153846155,0,116,44
1,117,1,2792.125,436.875,0,117,28
1,118,1,2800.0526315789475,436.42105263157896,0,118,28
1,119,1,2957.5833333333335,436.1666666666667,0,119,30
1,120,1,2962.5,437.0,0,120,30
1,121,1,3138.5,438.0,0,121,32
1,122,1,2806.1463414634145,437.8780487804878,0,122,28
1,123,1,2708.3,439.6,0,123,62
1,124,0,2726.125,438.875,0,124,0
1,125,1,2959.6875,438.8125,0,125,30
1,126,1,3019.8,439.0,0,126,48
1,127,1,3049.25,439.225,0,127,31
1,128,1,3057.9285714285716,439.35714285714283,0,128,31
1,129,1,2720.4285714285716,439.7857142857143,0,129,62
1,130,1,2812.1428571428573,440.07142857142856,0,130,28
1,131,1,2816.4,439.6,0,131,28
1,132,1,2821.725490196078,438.52941176470586,0,132,28
1,133,1,3024.25,440.45,0,133,44
1,134,1,3041.0526315789475,439.5263157894737,0,134,44
1,135,0,3126.6666666666665,440.44444444444446,0,135,0
