ImageNumber,ObjectNumber,Children_TUJWithinDAPI_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_Nuclei
1,1,0,411.90625,2.25,0,1,0
1,2,0,431.875,0.9375,0,2,0
1,3,0,545.875,0.875,0,3,0
1,4,0,881.5714285714286,0.7857142857142857,0,4,0
1,5,0,887.55,2.1,0,5,0
1,6,0,891.8461538461538,1.5384615384615385,0,6,0
1,7,0,406.0,1.5,0,7,0
1,8,0,417.7692307692308,1.6923076923076923,0,8,0
1,9,0,424.27272727272725,1.0454545454545454,0,9,0
1,10,0,539.7692307692307,1.2307692307692308,0,10,0
1,11,0,812.2307692307693,0.9230769230769231,0,11,0
1,12,0,785.6363636363636,1.6363636363636365,0,12,0
1,13,0,858.6666666666666,2.466666666666667,0,13,0
1,14,0,872.5121951219512,3.268292682926829,0,14,0
1,15,0,416.3333333333333,3.888888888888889,0,15,0
1,16,0,866.4285714285714,4.0,0,16,0
1,17,0,878.64,3.04,0,17,0
1,18,0,883.0,3.5,0,18,0
1,19,0,434.8,5.6,0,19,0
1,20,0,493.6363636363636,4.909090909090909,0,20,0
1,21,0,819.9411764705883,3.411764705882353,0,21,0
1,22,0,934.6363636363636,5.363636363636363,0,22,0
1,23,0,849.3333333333334,6.083333333333333,0,23,0
1,24,0,912.25,5.0,0,24,0
1,25,0,959.6666666666666,5.888888888888889,0,25,0
1,26,0,863.5,6.666666666666667,0,26,0
1,27,0,889.9333333333333,7.8,0,27,0
1,28,0,970.5,7.0,0,28,0
1,29,0,491.7,8.9,0,29,0
1,30,0,551.1,8.9,0,30,0
1,31,0,428.45454545454544,8.363636363636363,0,31,0
1,32,0,446.22222222222223,8.555555555555555,0,32,0
1,33,0,823.5,9.2,0,33,0
1,34,0,957.3333333333334,8.555555555555555,0,34,0
1,35,0,526.6363636363636,9.909090909090908,0,35,0
1,36,0,871.1428571428571,9.214285714285714,0,36,0
1,37,0,876.9090909090909,8.227272727272727,0,37,0
1,38,0,930.5,10.0,0,38,0
1,39,0,511.1818181818182,11.181818181818182,0,39,0
1,40,0,846.6153846153846,10.461538461538462,0,40,0
1,41,0,868.5,11.0,0,41,0
1,42,0,617.6111111111111,11.833333333333334,0,42,0
1,43,0,911.2,12.0,0,43,0
1,44,0,800.3333333333334,13.0,0,44,0
1,45,0,864.3125,12.6875,0,45,0
1,46,0,884.2307692307693,13.615384615384615,0,46,0
1,47,0,887.875,13.125,0,47,0
1,48,0,922.8333333333334,11.88888888888889,0,48,0
1,49,0,952.5,13.0,0,49,0
1,50,0,483.8888888888889,13.444444444444445,0,50,0
1,51,0,551.8888888888889,13.555555555555555,0,51,0
1,52,0,592.0769230769231,14.0,0,52,0
1,53,0,605.5,14.5,0,53,0
1,54,0,873.1666666666666,14.277777777777779,0,54,0
1,55,0,900.8,13.9,0,55,0
1,56,0,948.1578947368421,14.263157894736842,0,56,0
1,57,0,612.9090909090909,14.636363636363637,0,57,0
1,58,0,853.5714285714286,15.357142857142858,0,58,0
1,59,0,891.4375,14.4375,0,59,0
1,60,0,919.5,15.7,0,60,0
1,61,0,943.6363636363636,14.818181818181818,0,61,0
1,62,0,817.3333333333334,15.5,0,62,0
1,63,0,867.5,16.0,0,63,0
1,64,0,923.7058823529412,16.41176470588235,0,64,0
1,65,0,490.55555555555554,17.333333333333332,0,65,0
1,66,0,554.1111111111111,17.11111111111111,0,66,0
1,67,0,589.6666666666666,17.333333333333332,0,67,0
1,68,0,857.1111111111111,16.88888888888889,0,68,0
1,69,0,864.375,16.375,0,69,0
1,70,0,881.75,16.333333333333332,0,70,0
1,71,0,889.0555555555555,17.22222222222222,0,71,0
1,72,0,906.5217391304348,15.521739130434783,0,72,0
1,73,0,928.9090909090909,15.636363636363637,0,73,0
1,74,0,966.7777777777778,17.333333333333332,0,74,0
1,75,0,949.7619047619048,17.904761904761905,0,75,0
1,76,0,956.3333333333334,18.22222222222222,0,76,0
1,77,0,1965.125,18.875,0,77,0
1,78,0,1981.875,18.625,0,78,0
1,79,0,563.6363636363636,19.181818181818183,0,79,0
1,80,0,886.1818181818181,18.727272727272727,0,80,0
1,81,0,934.0,19.0,0,81,0
1,82,0,959.6,19.4,0,82,0
1,83,0,551.0,20.545454545454547,0,83,0
1,84,0,575.0909090909091,20.363636363636363,0,84,0
1,85,0,857.3846153846154,20.153846153846153,0,85,0
1,86,0,915.25,19.5,0,86,0
1,87,0,968.4736842105264,20.31578947368421,0,87,0
1,88,0,868.3636363636364,19.545454545454547,0,88,0
1,89,0,876.7272727272727,21.795454545454547,0,89,0
1,90,0,891.6153846153846,20.846153846153847,0,90,0
1,91,0,921.2,21.3,0,91,0
1,92,0,504.0833333333333,22.333333333333332,0,92,0
1,93,0,598.0769230769231,21.76923076923077,0,93,0
1,94,0,811.4545454545455,21.363636363636363,0,94,0
1,95,0,853.8181818181819,21.0,0,95,0
1,96,0,895.5555555555555,22.333333333333332,0,96,0
1,97,0,510.3333333333333,22.88888888888889,0,97,0
1,98,0,601.7692307692307,22.46153846153846,0,98,0
1,99,0,867.25,22.583333333333332,0,99,0
1,100,0,886.875,24.0,0,100,0
1,101,0,931.7272727272727,23.0,0,101,0
1,102,0,457.3636363636364,24.09090909090909,0,102,0
1,103,0,562.3,24.4,0,103,0
1,104,0,880.75,24.625,0,104,0
1,105,0,906.5555555555555,23.88888888888889,0,105,0
1,106,0,863.6785714285714,23.071428571428573,0,106,0
1,107,0,894.25,24.75,0,107,0
1,108,0,942.875,24.875,0,108,0
1,109,0,950.5,25.5,0,109,0
1,110,0,966.1875,23.4375,0,110,0
1,111,0,970.3333333333334,25.0,0,111,0
1,112,0,1825.375,24.75,0,112,0
1,113,0,485.46153846153845,25.846153846153847,0,113,0
1,114,0,859.3846153846154,27.0,0,114,0
1,115,0,889.7142857142857,26.857142857142858,0,115,0
1,116,0,919.0,26.45,0,116,0
1,117,0,428.4,30.533333333333335,0,117,0
1,118,0,547.7777777777778,27.11111111111111,0,118,0
1,119,0,870.7333333333333,26.466666666666665,0,119,0
1,120,0,593.25,27.583333333333332,0,120,0
1,121,0,856.2,28.9,0,121,0
1,122,0,876.7826086956521,28.869565217391305,0,122,0
1,123,0,885.5,28.0,0,123,0
1,124,0,891.1666666666666,29.055555555555557,0,124,0
1,125,0,904.0,28.0,0,125,0
1,126,0,436.875,29.375,0,126,0
1,127,0,737.6363636363636,28.90909090909091,0,127,0
1,128,0,848.2,28.466666666666665,0,128,0
1,129,0,853.0,28.77777777777778,0,129,0
1,130,0,880.3636363636364,28.454545454545453,0,130,0
1,131,0,482.15384615384613,29.23076923076923,0,131,0
1,132,0,808.75,29.35,0,132,0
1,133,0,898.9333333333333,29.6,0,133,0
1,134,0,917.1,30.2,0,134,0
1,135,0,2887.4444444444443,30.666666666666668,0,135,0
1,136,0,592.0,31.0,0,136,0
1,137,0,604.875,30.125,0,137,0
1,138,0,895.1428571428571,30.642857142857142,0,138,0
1,139,0,904.5,30.166666666666668,0,139,0
1,140,0,943.3333333333334,31.0,0,140,0
1,141,0,431.5,32.5,0,141,0
1,142,0,435.375,31.875,0,142,0
1,143,0,557.125,31.875,0,143,0
1,144,0,816.1,33.3,0,144,0
1,145,0,856.0,32.0,0,145,0
1,146,0,887.2727272727273,32.18181818181818,0,146,0
1,147,0,909.6666666666666,32.111111111111114,0,147,0
1,148,0,2898.6,32.2,0,148,0
1,149,0,791.875,33.125,0,149,0
1,150,0,825.8888888888889,33.44444444444444,0,150,0
1,151,0,841.75,33.0,0,151,0
1,152,0,878.7368421052631,33.36842105263158,0,152,0
1,153,0,2860.375,32.125,0,153,0
1,154,0,445.54545454545456,33.45454545454545,0,154,0
1,155,0,461.375,34.625,0,155,0
1,156,0,518.0588235294117,33.05882352941177,0,156,0
1,157,0,811.5333333333333,34.0,0,157,0
1,158,0,832.0,34.1578947368421,0,158,0
1,159,0,873.8,33.9,0,159,0
1,160,0,2900.6875,33.9375,0,160,0
1,161,0,886.0952380952381,36.0,0,161,0
1,162,0,222.88888888888889,36.333333333333336,0,162,0
1,163,0,458.6666666666667,37.0,0,163,0
1,164,0,475.22727272727275,37.31818181818182,0,164,0
1,165,0,507.72727272727275,36.27272727272727,0,165,0
1,166,0,556.1111111111111,37.55555555555556,0,166,0
1,167,0,828.125,36.875,0,167,0
1,168,0,906.0819672131148,37.01639344262295,0,168,0
1,169,0,423.25,38.375,0,169,0
1,170,0,451.8181818181818,38.81818181818182,0,170,0
1,171,0,836.3888888888889,41.083333333333336,0,171,0
1,172,0,895.2727272727273,36.45454545454545,0,172,0
1,173,0,918.9090909090909,37.81818181818182,0,173,0
1,174,0,378.75,39.375,0,174,0
1,175,0,540.6666666666666,39.44444444444444,0,175,0
1,176,0,552.9,38.9,0,176,0
1,177,0,795.7,39.2,0,177,0
1,178,0,798.8888888888889,39.333333333333336,0,178,0
1,179,0,888.2,39.5,0,179,0
1,180,0,438.2142857142857,39.357142857142854,0,180,0
1,181,0,586.5,40.25,0,181,0
1,182,0,591.3636363636364,39.09090909090909,0,182,0
1,183,0,831.6470588235294,38.411764705882355,0,183,0
1,184,0,840.6428571428571,39.785714285714285,0,184,0
1,185,0,852.375,39.375,0,185,0
1,186,0,898.2142857142857,40.214285714285715,0,186,0
1,187,0,917.2857142857143,40.214285714285715,0,187,0
1,188,0,538.3,42.2,0,188,0
1,189,0,554.8461538461538,41.53846153846154,0,189,0
1,190,0,786.125,41.125,0,190,0
1,191,0,448.2,41.46666666666667,0,191,0
1,192,0,452.8,42.0,0,192,0
1,193,0,513.2,41.9,0,193,0
1,194,0,877.4166666666666,43.083333333333336,0,194,0
1,195,0,441.46153846153845,43.30769230769231,0,195,0
1,196,0,595.1538461538462,44.23076923076923,0,196,0
1,197,0,887.875,42.875,0,197,0
1,198,0,474.4166666666667,44.416666666666664,0,198,0
1,199,0,791.7777777777778,44.888888888888886,0,199,0
1,200,0,856.0833333333334,44.583333333333336,0,200,0
1,201,0,919.3333333333334,43.55555555555556,0,201,0
1,202,0,459.7916666666667,43.083333333333336,0,202,0
1,203,0,469.75,46.5,0,203,0
1,204,0,568.7272727272727,44.90909090909091,0,204,0
1,205,0,579.8,46.0,0,205,0
1,206,0,844.9333333333333,45.53333333333333,0,206,0
1,207,0,853.5625,44.875,0,207,0
1,208,0,861.875,44.4375,0,208,0
1,209,0,901.9230769230769,45.38461538461539,0,209,0
1,210,0,908.4375,45.0,0,210,0
1,211,0,492.0,46.8,0,211,0
1,212,0,897.9333333333333,44.93333333333333,0,212,0
1,213,0,487.53333333333336,47.266666666666666,0,213,0
1,214,0,520.1,48.3,0,214,0
1,215,0,524.3333333333334,46.083333333333336,0,215,0
1,216,0,796.5,46.90909090909091,0,216,0
1,217,0,874.8888888888889,46.44444444444444,0,217,0
1,218,0,479.89473684210526,49.10526315789474,0,218,0
1,219,0,540.8,49.0,0,219,0
1,220,0,588.6923076923077,48.53846153846154,0,220,0
1,221,0,598.5,48.5,0,221,0
1,222,0,836.6153846153846,47.38461538461539,0,222,0
1,223,0,862.25,48.75,0,223,0
1,224,0,999.0,48.21052631578947,0,224,0
1,225,0,161.0,48.5,0,225,0
1,226,0,457.0,49.3,0,226,0
1,227,0,534.0,49.0,0,227,0
1,228,0,568.5,49.6,0,228,0
1,229,0,576.5,47.583333333333336,0,229,0
1,230,0,848.5625,48.75,0,230,0
1,231,0,869.1764705882352,47.64705882352941,0,231,0
1,232,0,897.3846153846154,49.23076923076923,0,232,0
1,233,0,438.15384615384613,49.53846153846154,0,233,0
1,234,0,444.8235294117647,49.705882352941174,0,234,0
1,235,0,510.8181818181818,49.59090909090909,0,235,0
1,236,0,549.625,50.25,0,236,0
1,237,0,584.7692307692307,49.76923076923077,0,237,0
1,238,0,875.8571428571429,50.0,0,238,0
1,239,0,792.1,51.3,0,239,0
1,240,0,797.375,50.25,0,240,0
1,241,0,855.875,51.125,0,241,0
1,242,0,888.875,50.75,0,242,0
1,243,0,892.75,50.75,0,243,0
1,244,0,506.5,52.0,0,244,0
1,245,0,510.4166666666667,53.5,0,245,0
1,246,0,570.0,51.875,0,246,0
1,247,0,617.75,52.0,0,247,0
1,248,0,817.421052631579,52.63157894736842,0,248,0
1,249,0,838.2631578947369,53.36842105263158,0,249,0
1,250,0,923.3333333333334,52.111111111111114,0,250,0
1,251,0,463.75,53.0,0,251,0
1,252,0,527.2,53.08,0,252,0
1,253,0,579.5714285714286,52.357142857142854,0,253,0
1,254,0,585.0,53.0,0,254,0
1,255,0,592.12,52.0,0,255,0
1,256,0,787.5833333333334,52.666666666666664,0,256,0
1,257,0,882.4615384615385,52.0,0,257,0
1,258,0,452.77777777777777,53.22222222222222,0,258,0
1,259,0,472.8333333333333,55.333333333333336,0,259,0
1,260,0,555.4285714285714,55.142857142857146,0,260,0
1,261,0,615.6153846153846,54.23076923076923,0,261,0
1,262,0,873.0,53.26086956521739,0,262,0
1,263,0,889.3684210526316,54.8421052631579,0,263,0
1,264,0,893.8666666666667,53.8,0,264,0
1,265,0,898.75,53.25,0,265,0
1,266,0,950.0588235294117,53.76470588235294,0,266,0
1,267,0,443.6363636363636,55.36363636363637,0,267,0
1,268,0,515.5294117647059,55.588235294117645,0,268,0
1,269,0,540.4137931034483,53.41379310344828,0,269,0
1,270,0,581.2631578947369,55.526315789473685,0,270,0
1,271,0,800.0,56.25,0,271,0
1,272,0,834.6153846153846,55.92307692307692,0,272,0
1,273,0,877.0,54.53333333333333,0,273,0
1,274,0,881.0,55.0,0,274,0
1,275,0,904.7692307692307,53.76923076923077,0,275,0
1,276,0,511.9230769230769,56.0,0,276,0
1,277,0,546.5,56.5,0,277,0
1,278,0,574.2142857142857,57.07142857142857,0,278,0
1,279,0,584.4545454545455,56.36363636363637,0,279,0
1,280,0,610.4,55.6,0,280,0
1,281,0,617.3846153846154,56.15384615384615,0,281,0
1,282,0,943.6428571428571,55.785714285714285,0,282,0
1,283,0,543.0,57.0,0,283,0
1,284,0,793.2,57.3,0,284,0
1,285,0,844.421052631579,57.10526315789474,0,285,0
1,286,0,884.5,56.833333333333336,0,286,0
1,287,0,897.9,56.7,0,287,0
1,288,0,452.1111111111111,58.333333333333336,0,288,0
1,289,0,817.3333333333334,58.22222222222222,0,289,0
1,290,0,838.6875,57.4375,0,290,0
1,291,0,877.6666666666666,58.708333333333336,0,291,0
1,292,0,892.6206896551724,58.62068965517241,0,292,0
1,293,0,919.4545454545455,58.63636363636363,0,293,0
1,294,0,419.875,59.25,0,294,0
1,295,0,633.7,59.6,0,295,0
1,296,0,639.1818181818181,59.18181818181818,0,296,0
1,297,0,767.125,58.875,0,297,0
1,298,0,870.7333333333333,58.333333333333336,0,298,0
1,299,0,903.8,57.5,0,299,0
1,300,0,958.3214285714286,58.625,0,300,0
1,301,0,964.1111111111111,59.22222222222222,0,301,0
1,302,0,505.8888888888889,60.333333333333336,0,302,0
1,303,0,588.125,60.125,0,303,0
1,304,0,882.3846153846154,60.07692307692308,0,304,0
1,305,0,945.0,60.0,0,305,0
1,306,0,582.0,61.5,0,306,0
1,307,0,636.0833333333334,60.083333333333336,0,307,0
1,308,0,836.0434782608696,60.34782608695652,0,308,0
1,309,0,845.1333333333333,61.53333333333333,0,309,0
1,310,0,889.3,61.4,0,310,0
1,311,0,896.9545454545455,60.72727272727273,0,311,0
1,312,0,900.6,61.7,0,312,0
1,313,0,941.2413793103449,62.310344827586206,0,313,0
1,314,0,443.5,62.4,0,314,0
1,315,0,561.125,61.875,0,315,0
1,316,0,565.8666666666667,61.8,0,316,0
1,317,0,597.25,61.75,0,317,0
1,318,0,849.3846153846154,59.73076923076923,0,318,0
1,319,0,868.5,61.5,0,319,0
1,320,0,948.4,60.7,0,320,0
1,321,0,965.5833333333334,61.833333333333336,0,321,0
1,322,0,977.1111111111111,61.111111111111114,0,322,0
1,323,0,1391.5,61.714285714285715,0,323,0
1,324,0,436.6923076923077,64.0,0,324,0
1,325,0,611.4615384615385,64.23076923076923,0,325,0
1,326,0,882.8,63.36666666666667,0,326,0
1,327,0,968.8,63.0,0,327,0
1,328,0,428.44444444444446,63.55555555555556,0,328,0
