ImageNumber,ObjectNumber,Children_GreenWithinDAPI_Count,Children_TUJWithinDAPI_Count,Classify_colocalized,Classify_colocalized,Classify_not_colocalized,Classify_not_colocalized,Location_Center_X,Location_Center_Y,Location_Center_Z,Mean_GreenWithinDAPI_Location_Center_X,Mean_GreenWithinDAPI_Location_Center_Y,Mean_GreenWithinDAPI_Location_Center_Z,Mean_GreenWithinDAPI_Number_Object_Number,Mean_TUJWithinDAPI_Location_Center_X,Mean_TUJWithinDAPI_Location_Center_Y,Mean_TUJWithinDAPI_Location_Center_Z,Mean_TUJWithinDAPI_Number_Object_Number,Number_Object_Number,Parent_RNA_Red
1,1,0,0,0,0,1,1,3032.2,372.0,0,nan,nan,nan,nan,nan,nan,nan,nan,1,9
1,2,0,0,0,0,1,1,2989.3333333333335,376.6666666666667,0,nan,nan,nan,nan,nan,nan,nan,nan,2,10
1,3,0,0,0,0,1,1,2987.818181818182,379.54545454545456,0,nan,nan,nan,nan,nan,nan,nan,nan,3,12
1,4,0,0,0,0,1,1,2983.8571428571427,382.42857142857144,0,nan,nan,nan,nan,nan,nan,nan,nan,4,13
1,5,0,0,0,0,1,1,3010.4054054054054,384.4054054054054,0,nan,nan,nan,nan,nan,nan,nan,nan,5,14
1,6,0,0,0,0,1,1,3020.3333333333335,385.5,0,nan,nan,nan,nan,nan,nan,nan,nan,6,15
1,7,0,0,0,0,1,1,2981.3333333333335,387.3333333333333,0,nan,nan,nan,nan,nan,nan,nan,nan,7,16
1,8,0,0,0,0,1,1,3013.478260869565,388.7826086956522,0,nan,nan,nan,nan,nan,nan,nan,nan,8,19
1,9,0,0,0,0,1,1,3015.6190476190477,390.9047619047619,0,nan,nan,nan,nan,nan,nan,nan,nan,9,22
1,10,0,0,0,0,1,1,3035.6666666666665,391.875,0,nan,nan,nan,nan,nan,nan,nan,nan,10,23
1,11,0,0,0,0,1,1,3094.8,394.5,0,nan,nan,nan,nan,nan,nan,nan,nan,11,25
1,12,0,0,0,0,1,1,3035.28,396.68,0,nan,nan,nan,nan,nan,nan,nan,nan,12,26
1,13,0,0,0,0,1,1,3040.2,396.4,0,nan,nan,nan,nan,nan,nan,nan,nan,13,27
1,14,0,0,0,0,1,1,3050.3571428571427,397.2857142857143,0,nan,nan,nan,nan,nan,nan,nan,nan,14,28
