ImageNumber,ObjectNumber,Children_GreenTUJColocal_Count,Children_RedTUJColocal_Count,Location_Center_X,Location_Center_Y,Location_Center_Z,Number_Object_Number,Parent_GreenWithinDAPI,Parent_RNA_TUJ,Parent_RedWithinDAPI
1,1,0,0,2840.8,388.0,0,1,0,8562,0
1,2,0,0,2801.090909090909,393.6363636363636,0,2,0,8788,0
1,3,0,0,2804.0,394.3333333333333,0,3,0,8828,0
1,4,0,0,2800.176470588235,396.88235294117646,0,4,0,9005,0
1,5,0,0,2445.8,402.5,0,5,0,9172,0
1,6,0,0,2812.3,405.5,0,6,0,9296,0
1,7,0,0,2807.4117647058824,408.29411764705884,0,7,0,9409,0
1,8,0,0,2484.6363636363635,411.09090909090907,0,8,0,9538,0
1,9,0,0,2421.2,412.0,0,9,0,9570,0
1,10,0,0,2529.176470588235,412.8235294117647,0,10,0,9613,0
1,11,0,0,2419.785714285714,415.2142857142857,0,11,0,9647,0
1,12,0,0,2423.2,415.0,0,12,0,9679,0
1,13,0,0,2449.1875,415.625,0,13,0,9721,0
1,14,0,0,2487.846153846154,416.0,0,14,0,9722,0
1,15,0,0,2528.2727272727275,416.72727272727275,0,15,0,9759,0
1,16,0,0,2543.684210526316,417.89473684210526,0,16,0,9794,0
1,17,0,0,2469.342857142857,419.7142857142857,0,17,0,9829,0
1,18,0,0,2467.769230769231,422.84615384615387,0,18,0,9938,0
1,19,0,0,2534.8125,421.8125,0,19,0,9939,0
1,20,0,0,2544.6363636363635,421.45454545454544,0,20,0,9940,0
1,21,0,1,2722.5,422.2,0,21,0,9989,35
1,22,0,0,2532.8947368421054,425.1578947368421,0,22,0,10028,0
1,23,0,0,2548.09375,424.34375,0,23,0,10081,0
1,24,0,1,2784.5,425.5,0,24,0,10089,36
1,25,0,0,2542.230769230769,426.7692307692308,0,25,0,10127,0
1,26,0,0,2490.3636363636365,426.90909090909093,0,26,0,10163,0
1,27,0,0,2728.75,431.125,0,27,0,10352,0
1,28,0,0,2489.75,431.3125,0,28,0,10401,0
1,29,0,0,2736.5,431.06666666666666,0,29,0,10404,0
1,30,0,1,2374.3818181818183,432.6363636363636,0,30,0,10475,70
1,31,0,1,2379.3846153846152,435.84615384615387,0,31,0,10528,70
1,32,0,0,2628.714285714286,435.14285714285717,0,32,0,10530,0
1,33,0,0,2698.75,436.1,0,33,0,10532,0
1,34,0,1,2724.6,436.24,0,34,0,10534,95
1,35,0,0,2536.3571428571427,435.2857142857143,0,35,0,10572,0
1,36,0,0,2721.5,433.77272727272725,0,36,0,10574,0
1,37,0,0,2735.8888888888887,436.1111111111111,0,37,0,10575,0
1,38,1,1,2804.5454545454545,435.8181818181818,0,38,3,10577,89
1,39,0,0,2548.3478260869565,438.04347826086956,0,39,0,10623,0
1,40,0,1,2708.3636363636365,436.8181818181818,0,40,0,10626,90
1,41,0,1,2788.375,435.75,0,41,0,10627,71
1,42,0,0,2537.25,439.125,0,42,0,10710,0
1,43,0,0,2587.2,440.1,0,43,0,10711,0
1,44,0,0,2620.235294117647,439.1470588235294,0,44,0,10712,0
1,45,0,0,2711.8,438.7,0,45,0,10713,0
1,46,0,1,2790.3529411764707,438.4117647058824,0,46,0,10714,84
1,47,0,1,2794.5454545454545,437.3636363636364,0,47,0,10715,101
1,48,0,1,2800.15,438.8,0,48,0,10716,85
1,49,0,0,2639.7272727272725,439.1818181818182,0,49,0,10758,0
1,50,0,0,2715.3333333333335,440.3333333333333,0,50,0,10799,0
1,51,0,0,2560.8823529411766,442.3529411764706,0,51,0,10837,0
1,52,0,0,2596.4615384615386,441.38461538461536,0,52,0,10838,0
1,53,0,0,2600.162162162162,444.05405405405406,0,53,0,10839,0
1,54,0,0,2606.3333333333335,442.0833333333333,0,54,0,10840,0
1,55,0,0,2512.5652173913045,443.0,0,55,0,10882,0
1,56,0,0,2548.9,443.7,0,56,0,10883,0
1,57,0,0,2681.3488372093025,442.74418604651163,0,57,0,10884,0
1,58,0,1,2706.6315789473683,442.2631578947368,0,58,0,10885,90
1,59,0,0,2529.1,444.2,0,59,0,10921,0
